name,lat,lon,timeBound,budget,importance,quality,area,profit,length,time,status
jog,58.6866,16.0975,5,2500,0.5,0.730732,-235815,3683.69,3683.69,0,1
ils,58.6866,16.0975,5,2500,0.5,0.730732,-235815,3683.69,3683.69,5000,1
sel,58.6866,16.0975,5,2500,1,0,0,920.071,2457.18,0,1
ilp,58.6866,16.0975,5,2500,1,-1,-1,-1,-1,383,3
jog,58.6866,16.0975,5,2500,1,-0.0120099,-235815,3683.69,3683.69,0,1
ils,58.6866,16.0975,5,2500,1,0.00981504,192718,2703.3,3583.24,5000,1
sel,58.6866,16.0975,5,5000,0,0.807156,-660901,4035.78,4984.46,0,1
ilp,58.6866,16.0975,5,5000,0,-1,-1,-1,-1,7407,3
jog,58.6866,16.0975,5,5000,0,1.14288,658984,5714.41,8591.49,0,1
ils,58.6866,16.0975,5,5000,0,1.34754,602280,6737.69,8505.84,5000,1
sel,58.6866,16.0975,5,5000,0.5,0.39937,-660901,4035.78,4984.46,0,1
ilp,58.6866,16.0975,5,5000,0.5,-1,-1,-1,-1,7443,3
jog,58.6866,16.0975,5,5000,0.5,0.575636,658984,5714.41,8591.49,0,1
ils,58.6866,16.0975,5,5000,0.5,0.678119,683254,6737.69,8590.79,5000,1
sel,58.6866,16.0975,5,5000,1,-0.00841485,-660901,4035.78,4984.46,0,1
ilp,58.6866,16.0975,5,5000,1,-1,-1,-1,-1,7246,3
jog,58.6866,16.0975,5,5000,1,-0.00992398,-779428,5003.66,5476.81,0,1
ils,58.6866,16.0975,5,5000,1,0.00305193,239698,2703.3,5432.63,5000,1
sel,58.6866,16.0975,5,10000,0,0.451197,-660901,4511.97,9982.73,1,1
ilp,58.6866,16.0975,5,10000,0,-1,-1,-1,-1,7507,3
jog,58.6866,16.0975,5,10000,0,1.13575,-1.65461e+06,11357.5,12401.7,4,1
ils,58.6866,16.0975,5,10000,0,1.13575,-1.65461e+06,11357.5,12401.7,5000,1
sel,58.6866,16.0975,5,10000,0.5,0.224547,-660901,4511.97,9982.73,3,1
ilp,58.6866,16.0975,5,10000,0.5,-1,-1,-1,-1,9728,3
jog,58.6866,16.0975,5,10000,0.5,0.565241,-1.65461e+06,11357.5,12401.7,8,1
ils,58.6866,16.0975,5,10000,0.5,0.565241,-1.65461e+06,11357.5,12401.7,5000,1
sel,58.6866,16.0975,5,10000,1,-0.00210371,-660901,4511.97,9982.73,3,1
ilp,58.6866,16.0975,5,10000,1,-1,-1,-1,-1,9567,3
jog,58.6866,16.0975,5,10000,1,-0.0108288,-3.40198e+06,9294.67,10727.8,8,1
ils,58.6866,16.0975,5,10000,1,-0.00934455,-2.93568e+06,8485.73,10702.8,5000,1
sel,58.6866,16.0975,5,25000,0,0.180479,-660901,4511.97,24979.3,10,1
ilp,58.6866,16.0975,5,25000,0,-1,-1,-1,-1,9514,3
jog,58.6866,16.0975,5,25000,0,1.1213,-1.87202e+07,28032.4,28082,123,1
ils,58.6866,16.0975,5,25000,0,1.1213,-1.87202e+07,28032.4,28082,5000,1
sel,58.6866,16.0975,5,25000,0.5,0.0900711,-660901,4511.97,24979.3,10,1
ilp,58.6866,16.0975,5,25000,0.5,-1,-1,-1,-1,9816,3
jog,58.6866,16.0975,5,25000,0.5,0.555882,-1.87202e+07,28032.4,28082,135,1
ils,58.6866,16.0975,5,25000,0.5,0.555882,-1.87202e+07,28032.4,28082,5000,1
sel,58.6866,16.0975,5,25000,1,-0.000336594,-660901,4511.97,24979.3,11,1
ilp,58.6866,16.0975,5,25000,1,-1,-1,-1,-1,10307,3
jog,58.6866,16.0975,5,25000,1,-0.0095341,-1.87202e+07,28032.4,28082,164,1
ils,58.6866,16.0975,5,25000,1,-0.00870532,-1.70929e+07,26340.7,27993.4,5000,1
sel,58.6866,16.0975,5,50000,0,0.0902394,-660901,4511.97,49973.5,30,1
ilp,58.6866,16.0975,5,50000,0,-1,-1,-1,-1,8869,3
jog,58.6866,16.0975,5,50000,0,0.840667,6.13989e+07,42033.3,51132.7,145,1
ils,58.6866,16.0975,5,50000,0,0.840667,6.13989e+07,42033.3,51132.7,5000,1
sel,58.6866,16.0975,5,50000,0.5,0.0450776,-660901,4511.97,49973.5,9,1
ilp,58.6866,16.0975,5,50000,0.5,-1,-1,-1,-1,7346,3
jog,58.6866,16.0975,5,50000,0.5,0.416425,-6.13989e+07,42033.3,51132.7,134,1
ils,58.6866,16.0975,5,50000,0.5,0.416425,-6.13989e+07,42033.3,51132.7,5000,1
sel,58.6866,16.0975,5,50000,1,-8.41485e-05,-660901,4511.97,49973.5,9,1
ilp,58.6866,16.0975,5,50000,1,-1,-1,-1,-1,7365,3
jog,58.6866,16.0975,5,50000,1,-0.00961531,-7.55184e+07,38879.2,51688.7,134,1
ils,58.6866,16.0975,5,50000,1,-0.00957611,-7.52106e+07,37377.4,51609.7,5000,1
sel,58.6866,16.0975,5,100000,0,0.0451197,-660901,4511.97,99961.9,18,1
ilp,58.6866,16.0975,5,100000,0,-1,-1,-1,-1,7339,3
jog,58.6866,16.0975,5,100000,0,0.748106,-6.97516e+07,74810.6,99603.8,264,1
ils,58.6866,16.0975,5,100000,0,0.748106,-6.97516e+07,74810.6,99603.8,5000,1
sel,58.6866,16.0975,5,100000,0.5,0.00727582,5.82077e-11,1455.16,99985.8,111,1
ilp,58.6866,16.0975,5,100000,0.5,-1,-1,-1,-1,7297,3
jog,58.6866,16.0975,5,100000,0.5,0.372943,-6.97516e+07,74810.6,99603.8,260,1
ils,58.6866,16.0975,5,100000,0.5,0.372943,-6.97516e+07,74810.6,99603.8,5000,1
sel,58.6866,16.0975,5,100000,1,1.85281e-21,5.82077e-11,1455.16,99985.8,126,1
ilp,58.6866,16.0975,5,100000,1,-1,-1,-1,-1,7533,3
jog,58.6866,16.0975,5,100000,1,-0.00222026,-6.97516e+07,74810.6,99603.8,276,1
ils,58.6866,16.0975,5,100000,1,-0.00214684,-6.7445e+07,74756.2,99600.6,5000,1
sel,58.603,16.153,15,1000,0,0.145581,-468.586,145.581,999.278,0,1
ilp,58.603,16.153,15,1000,0,-1,-1,-1,-1,17371,3
jog,58.603,16.153,15,1000,0,1.76496,-226768,1764.96,2083.7,11,1
ils,58.603,16.153,15,1000,0,1.76496,-226768,1764.96,2083.7,15003,1
sel,58.603,16.153,15,1000,0.5,0.0727158,-468.586,145.581,999.278,0,1
ilp,58.603,16.153,15,1000,0.5,-1,-1,-1,-1,19680,3
jog,58.603,16.153,15,1000,0.5,0.846388,-226768,1764.96,2083.7,11,1
ils,58.603,16.153,15,1000,0.5,0.846388,-226768,1764.96,2083.7,15001,1
sel,58.603,16.153,15,1000,1,-0.000149156,-468.586,145.581,999.278,0,1
ilp,58.603,16.153,15,1000,1,-1,-1,-1,-1,19605,3
jog,58.603,16.153,15,1000,1,-0.0721825,-226768,1764.96,2083.7,5,1
ils,58.603,16.153,15,1000,1,0.0271924,85427.5,0.182083,2072.54,15000,1
sel,58.603,16.153,15,2500,0,0.0582323,-468.586,145.581,2490.74,0,1
ilp,58.603,16.153,15,2500,0,-1,-1,-1,-1,17029,3
jog,58.603,16.153,15,2500,0,0.950952,-240049,2377.38,3237.18,15,1
ils,58.603,16.153,15,2500,0,0.950952,-240049,2377.38,3237.18,15000,1
sel,58.603,16.153,15,2500,0.5,0.0291042,-468.586,145.581,2490.74,0,1
ilp,58.603,16.153,15,2500,0.5,-1,-1,-1,-1,17012,3
jog,58.603,16.153,15,2500,0.5,0.469363,-240049,2377.38,3237.18,16,1
ils,58.603,16.153,15,2500,0.5,0.469363,-240049,2377.38,3237.18,15000,1
sel,58.603,16.153,15,2500,1,-2.38649e-05,-468.586,145.581,2490.74,0,1
ilp,58.603,16.153,15,2500,1,-1,-1,-1,-1,17771,3
jog,58.603,16.153,15,2500,1,-0.0123294,-242088,1868.83,2205.24,46,1
ils,58.603,16.153,15,2500,1,0.00214554,42127.6,228.317,2126.21,15000,1
sel,58.603,16.153,15,5000,0,0.0291161,-468.586,145.581,4990.77,2,1
ilp,58.603,16.153,15,5000,0,-1,-1,-1,-1,19742,3
jog,58.603,16.153,15,5000,0,0.937774,693362,4688.87,5505.2,65,1
ils,58.603,16.153,15,5000,0,0.938887,701573,4694.43,5502.94,15000,1
sel,58.603,16.153,15,5000,0.5,0.0145551,-468.586,145.581,4990.77,2,1
ilp,58.603,16.153,15,5000,0.5,-1,-1,-1,-1,19818,3
jog,58.603,16.153,15,5000,0.5,0.473301,693362,4688.87,5505.2,62,1
ils,58.603,16.153,15,5000,0.5,0.47391,701573,4694.43,5502.94,15000,1
sel,58.603,16.153,15,5000,1,-5.96622e-06,-468.586,145.581,4990.77,2,1
ilp,58.603,16.153,15,5000,1,-1,-1,-1,-1,18427,3
jog,58.603,16.153,15,5000,1,-0.002553,-200512,3014.48,4663.14,23,1
ils,58.603,16.153,15,5000,1,0.00631676,496117,1357.71,4660.21,15000,1
sel,58.603,16.153,15,10000,0,0.0202951,-468.586,202.951,9990.54,1,1
ilp,58.603,16.153,15,10000,0,-1,-1,-1,-1,16995,3
jog,58.603,16.153,15,10000,0,0.978716,2.06413e+06,9787.16,11249.5,60,1
ils,58.603,16.153,15,10000,0,0.991306,2.06254e+06,9913.06,11244.6,15000,1
sel,58.603,16.153,15,10000,0.5,0.0101468,-468.586,202.951,9990.54,1,1
ilp,58.603,16.153,15,10000,0.5,-1,-1,-1,-1,17108,3
jog,58.603,16.153,15,10000,0.5,0.479791,-3.18153e+06,9697.09,10924.6,62,1
ils,58.603,16.153,15,10000,0.5,0.48258,-3.17489e+06,9752.67,10921.8,15000,1
sel,58.603,16.153,15,10000,1,-1.49156e-06,-468.586,202.951,9990.54,1,1
ilp,58.603,16.153,15,10000,1,-1,-1,-1,-1,17511,3
jog,58.603,16.153,15,10000,1,-0.0101619,-3.19244e+06,9246.4,10096.9,146,1
ils,58.603,16.153,15,10000,1,-0.00954959,-3.00009e+06,7034.8,10082,15000,1
sel,58.603,16.153,15,25000,0,0.00582323,-468.586,145.581,24995.8,10,1
ilp,58.603,16.153,15,25000,0,-1,-1,-1,-1,19636,3
jog,58.603,16.153,15,25000,0,0.783907,-8.32973e+06,19597.7,24462.7,313,1
ils,58.603,16.153,15,25000,0,0.791193,-8.26823e+06,19779.8,24460.7,15000,1
sel,58.603,16.153,15,25000,0.5,0.00291149,-468.586,145.581,24995.8,11,1
ilp,58.603,16.153,15,25000,0.5,-1,-1,-1,-1,19868,3
jog,58.603,16.153,15,25000,0.5,0.389832,-8.32973e+06,19597.7,24462.7,293,1
ils,58.603,16.153,15,25000,0.5,0.393558,-8.25677e+06,19783,24455.3,15000,1
sel,58.603,16.153,15,25000,1,-2.38649e-07,-468.586,145.581,24995.8,3,1
ilp,58.603,16.153,15,25000,1,-1,-1,-1,-1,16983,3
jog,58.603,16.153,15,25000,1,-0.0042423,-8.32973e+06,19597.7,24462.7,123,1
ils,58.603,16.153,15,25000,1,-0.00377646,-7.41506e+06,17181.8,24444.4,15000,1
sel,58.603,16.153,15,50000,0,0.00291161,-468.586,145.581,49997,7,1
ilp,58.603,16.153,15,50000,0,-1,-1,-1,-1,17000,3
jog,58.603,16.153,15,50000,0,0.971533,4.57166e+07,48576.6,51989.9,147,1
ils,58.603,16.153,15,50000,0,0.974638,4.5824e+07,48731.9,51981.4,15000,1
sel,58.603,16.153,15,50000,0.5,0.00145578,-468.586,145.581,49997,7,1
ilp,58.603,16.153,15,50000,0.5,-1,-1,-1,-1,16991,3
jog,58.603,16.153,15,50000,0.5,0.482856,-4.57166e+07,48576.6,51989.9,176,1
ils,58.603,16.153,15,50000,0.5,0.484393,-4.57223e+07,48730.4,51979.9,15000,1
sel,58.603,16.153,15,50000,1,-5.96622e-08,-468.586,145.581,49997,8,1
ilp,58.603,16.153,15,50000,1,-1,-1,-1,-1,17620,3
jog,58.603,16.153,15,50000,1,-0.00760793,-5.97526e+07,45796.8,53587.6,345,1
ils,58.603,16.153,15,50000,1,-0.00727633,-5.71482e+07,37818.1,53583.2,15000,1
sel,58.603,16.153,15,100000,0,0.00145581,-468.586,145.581,99999.4,42,1
ilp,58.603,16.153,15,100000,0,-1,-1,-1,-1,19590,3
jog,58.603,16.153,15,100000,0,0.869231,2.0771e+08,86923.1,104679,472,1
